,audienceRating,Genre,criticRating,timeMin,grossMillions,Movie,Vote,Year
39,5.9,Action,49,123,34.6,À l'aube du 6ème jour,105553,2000
40,6.6,Action,77,110,56.94,Shanghai Kid,104646,2000
41,6.6,Drama,51,130,155.46,Apparences,104371,2000
42,7.2,Drama,40,123,33.52,Un monde meilleur,102441,2000
43,6.7,Comedy,47,98,57.26,Mon voisin le tueur,96551,2000
44,5.6,Comedy,27,100,60.79,Coyote Girls,96031,2000
45,7.2,Biography,56,129,48.82,Les chemins de la dignité,95803,2000
46,6.7,Comedy,42,125,75.79,Family Man,91661,2000
47,8.1,Drama,85,98,2.73,In the Mood for Love,89093,2000
48,7.4,Crime,67,118,45.01,Fréquence interdite,88713,2000
49,6.0,Comedy,49,93,37.88,Endiablé,86808,2000
50,8.0,Crime,61,140,4.18,Dancer in the Dark,86370,2000
51,5.3,Comedy,38,90,39.46,Little Nicky,86221,2000
52,6.3,Horror,40,107,61.33,The Cell,85026,2000
53,7.3,Drama,62,136,51.8,À la rencontre de Forrester,76105,2000
54,6.0,Comedy,52,98,68.38,American Girls,75314,2000
55,7.5,Comedy,54,109,3.43,Malena,72739,2000
56,5.1,Action,33,99,117.56,Big Mamma,71806,2000
57,6.6,Action,62,116,77.09,U-571,69179,2000
58,2.4,Action,9,118,21.47,Battlefield Earth - Terre champ de bataille,68632,2000
59,6.9,Animation,51,89,50.86,La route d'Eldorado,67115,2000
60,6.4,Action,73,130,90.46,Space Cowboys,64294,2000
61,5.6,Adventure,34,114,60.88,Mission to Mars,64027,2000
62,5.9,Action,50,99,70.33,Shaft,62047,2000
63,6.1,Action,52,115,55.97,Roméo doit mourir,60256,2000
64,7.4,Comedy,73,107,19.39,Wonder Boys,56843,2000
65,6.7,Drama,62,112,12.01,Intuitions,55704,2000
66,6.6,Animation,48,94,22.75,Titan A.E.,54391,2000
67,5.9,Action,48,124,69.24,Vertical Limit,52577,2000
68,6.9,Crime,49,106,0.63,Les rivières pourpres,51765,2000
69,6.5,Comedy,30,118,44.74,Les remplaçants,51455,2000
70,6.2,Action,45,135,32.6,L'échange,51252,2000
71,5.7,Action,34,106,17.48,Planète rouge,50290,2000
72,7.5,Comedy,78,90,18.62,Bêtes de scène,48808,2000
73,6.7,Drama,47,126,30.7,La légende de Bagger Vance,48360,2000
74,7.3,Drama,67,145,34.59,Treize jours,48119,2000
75,7.3,Biography,70,124,7.06,"Quills, la plume et le sang",47063,2000
76,7.3,Crime,79,89,6.95,Sexy Beast,46760,2000
77,6.4,Comedy,60,128,37.05,Au nom d'Anna,46478,2000
78,7.0,Crime,63,120,16.94,Les initiés,44197,2000
79,6.5,Animation,56,82,137.75,Dinosaure,42865,2000
80,4.3,Comedy,38,106,123.31,La famille Foldingue,42288,2000
81,7.9,Crime,80,114,1.22,Les neuf reines,42242,2000
82,6.4,Drama,45,128,61.34,L'enfer du devoir,39718,2000
83,6.0,Comedy,46,103,37.17,28 jours en sursis,37419,2000
