,audienceRating,Genre,criticRating,timeMin,grossMillions,Movie,Vote,Year
1077,5.6,Action,39,175,34.3,Alexandre,147186,2004
1078,6.3,Action,46,126,51.88,Le roi Arthur,145180,2004
1079,5.9,Action,38,113,52.41,Blade: Trinity,145126,2004
1080,7.2,Action,64,98,32.77,"Team america, police du monde",144003,2004
1081,6.0,Animation,48,90,160.86,Gang de requins,143794,2004
1082,7.4,Crime,73,105,2.34,Layer Cake,143657,2004
1083,6.6,Animation,61,100,183.37,Le pôle express,138558,2004
1084,6.1,Comedy,57,98,57.23,30 ans sinon rien,134543,2004
1085,6.5,Action,33,124,33.68,The Punisher,134503,2004
1086,6.1,Comedy,55,101,88.24,Starsky et Hutch,126383,2004
1087,5.9,Horror,49,91,110.36,The Grudge,124413,2004
1088,7.7,Biography,73,152,75.33,Ray,119615,2004
1089,7.5,Documentary,67,122,119.19,Fahrenheit 9/11,118057,2004
1090,5.9,Comedy,44,90,88.1,Polly et moi,112569,2004
1091,5.5,Comedy,41,109,70.83,FBI - Fausses blondes infiltrées,109051,2004
1092,7.8,Action,78,99,17.11,Crazy kung-fu,108050,2004
1093,7.3,Drama,40,143,51.27,Le fantôme de l'opéra,103319,2004
1094,7.6,Action,89,119,11.05,Le secret des poignards volants,97649,2004
1095,3.3,Action,27,104,40.2,Catwoman,94274,2004
1096,6.6,Drama,76,129,65.96,Un crime dans la tête,92209,2004
1097,7.2,Documentary,73,100,11.53,Super Size Me,91305,2004
1098,6.2,Comedy,56,104,39.8,Ladykillers,89354,2004
1099,7.8,Adventure,75,126,16.76,Carnets de voyage,87965,2004
1100,5.9,Comedy,44,108,40.23,Bridget Jones: L'âge de raison,87366,2004
1101,6.5,Action,60,94,32.0,Cellular,83381,2004
1102,6.9,Drama,68,77,0.42,Primer,82744,2004
1103,6.1,Action,64,106,37.76,Capitaine Sky et le monde de demain,75842,2004
1104,5.8,Action,49,120,24.01,Le tour du monde en 80 jours,74326,2004
1105,6.7,Action,54,136,67.29,Hidalgo,71080,2004
1106,6.2,Crime,38,103,32.68,Taking lives - destins violés,69910,2004
1107,6.4,Comedy,48,131,42.04,Spanglish,69765,2004
1108,5.9,Comedy,25,95,51.44,Comme Cendrillon,69340,2004
1109,8.0,Biography,74,125,2.09,Mar adentro,69106,2004
1110,5.0,Animation,27,80,75.37,"Garfield, le film",65832,2004
1111,7.7,Drama,76,133,6.17,Un long dimanche de fiançailles,65769,2004
1112,7.0,Animation,66,87,85.42,"Bob l'éponge, le film",64975,2004
1113,5.7,Comedy,43,113,95.17,Un mariage de princesse,60699,2004
1114,7.7,Drama,73,105,0.7,Mysterious Skin,60140,2004
1115,5.8,Drama,43,91,66.64,Mémoire effacée,59870,2004
1116,7.2,Action,70,84,1.2,Banlieue 13,59543,2004
1117,6.7,Comedy,55,107,12.78,J'adore Huckabees,58817,2004
1118,6.2,Action,44,86,45.86,Tolérance zéro,57728,2004
1119,6.2,Comedy,43,102,25.27,Père et fille,57614,2004
1120,6.3,Comedy,59,98,17.0,La plus belle victoire,54536,2004
1121,5.2,Comedy,42,93,59.48,Et l'homme créa la femme,52663,2004
1122,6.4,Crime,33,106,4.48,Profession profiler,52548,2004
1123,6.3,Comedy,53,96,22.92,Ella au pays enchanté,52451,2004
1124,7.3,Action,70,118,61.19,Friday Night Lights,50905,2004
1125,6.5,Action,47,115,74.54,Piège de feu,50677,2004
1126,6.5,Comedy,66,109,45.49,En bonne compagnie,50493,2004
1127,6.5,Action,58,114,1.49,Night Watch,49075,2004
1128,5.5,Comedy,24,98,16.32,Mon voisin le tueur 2,48705,2004
1129,7.5,Crime,81,106,5.21,La mauvaise éducation,48679,2004
1130,7.9,Drama,56,97,3.64,Les choristes,48500,2004
1131,7.0,Drama,40,114,12.83,Rencontre à Wicker Park,47804,2004
1132,6.1,Action,47,113,21.01,Le vol du Phoenix,47762,2004
1133,6.2,Comedy,49,103,13.4,Irrésistible Alfie,46048,2004
1134,7.5,Drama,78,129,0.26,2046,44468,2004
1135,7.1,Biography,79,118,10.21,Dr. Kinsey,44258,2004
1136,8.0,Drama,78,121,0.0,Head-On,44048,2004
1137,7.7,Crime,52,90,0.01,Dead Man's Shoes,43069,2004
1138,8.1,Crime,72,88,0.24,Locataires,42125,2004
1139,6.8,Comedy,62,92,8.94,Saved!,41763,2004
1140,7.9,Drama,67,192,2.92,Veer-Zaara,40541,2004
1141,6.3,Action,38,97,28.33,Coup d'éclat,40375,2004
1142,7.5,Biography,68,135,64.38,Miracle,39589,2004
1143,5.9,Adventure,29,95,58.17,Jusqu'au cou,39460,2004
1144,6.1,Comedy,47,106,57.89,Shall we dance? La nouvelle vie de Monsieur Clark,38226,2004
1145,5.0,Adventure,34,93,84.22,Scooby-Doo 2 - Les monstres se déchaînent,37493,2004
1146,4.4,Action,27,97,36.61,New York Taxi,35452,2004
1147,5.9,Comedy,47,111,28.17,Le Prince et Moi,34121,2004
1148,8.1,Action,64,140,1.11,Frères de sang,33997,2004
1149,6.0,Comedy,38,119,37.49,Fashion maman,32632,2004
1150,5.2,Comedy,22,99,73.78,Un Noël de folie!,32626,2004
1151,6.4,Biography,44,114,4.84,"Rochester, le dernier des libertins",32604,2004
1152,6.1,Comedy,46,101,12.19,Esprit libre,32197,2004
1153,4.9,Comedy,46,87,17.08,Le fils de Chucky,31966,2004
1154,7.5,Crime,87,101,6.52,Maria pleine de grâce,31735,2004
1155,6.1,Drama,50,100,5.01,Birth,31453,2004
1156,7.1,Drama,63,131,3.77,Le marchand de Venise,31441,2004
1157,7.6,Animation,66,100,1.04,Ghost in the Shell 2: Innocence,31405,2004
1158,5.1,Horror,30,114,41.82,"L'exorciste, au commencement",30153,2004
1159,7.2,Drama,72,87,0.04,The Woodsman,29080,2004
1160,6.5,Comedy,54,99,3.83,Melinda et Melinda,28651,2004
1161,7.5,Drama,68,127,0.18,The Edukators,28403,2004
1162,6.2,Drama,43,95,0.55,Final Cut,28236,2004
1163,7.3,Crime,74,90,0.6,Mean Creek,28012,2004
1164,4.8,Comedy,31,99,12.18,Envy,27625,2004
1165,6.6,Action,60,106,4.43,Spartan,27493,2004
1166,2.0,Comedy,9,88,9.11,P'tits génies 2,27020,2004
1167,5.7,Comedy,45,104,4.99,Club Dread,25173,2004
1168,4.0,Action,41,84,21.22,"Torque, la route s'enflamme",24821,2004
1169,4.6,Comedy,33,89,29.33,Journal intime d'une future star,24739,2004
1170,3.5,Drama,37,95,40.07,Street Dancers,24237,2004
1171,4.6,Action,40,97,32.24,Anacondas - À la poursuite de l'orchidée de sang,24199,2004
1172,5.9,Family,33,103,10.41,Trouve ta voix,24171,2004
1173,5.6,Comedy,52,95,17.07,Rendez-vous avec une star,24098,2004
1174,7.0,Biography,63,95,0.7,The Assassination of Richard Nixon,24044,2004
1175,6.0,Drama,39,86,14.16,Dirty Dancing 2,23762,2004
1176,4.8,Action,24,102,14.38,"Godsend, expérience interdite",23246,2004
1177,7.2,Drama,48,119,0.16,Love Song,23147,2004
1178,6.9,Comedy,74,98,6.58,Millions,22857,2004
1179,7.7,Crime,83,125,3.75,Vera Drake,21378,2004
1180,5.7,Comedy,35,93,10.39,The Perfect Score,20994,2004
1181,5.9,Comedy,38,90,17.85,Une affaire de coeur,19933,2004
1182,7.8,Drama,63,105,1.34,Dear Frankie,19678,2004
1183,4.4,Comedy,33,86,13.92,Soul Plane,19367,2004
1184,5.4,Comedy,19,91,11.66,Famille à louer,19215,2004
1185,4.9,Drama,43,71,0.05,9 Songs,19191,2004
1186,4.9,Comedy,33,91,14.02,Une journée à New York,18995,2004
1187,8.1,Drama,88,141,0.68,Nobody knows,18942,2004
1188,5.0,Comedy,31,106,9.06,Des étoiles plein les yeux,18541,2004
1189,6.2,Comedy,55,122,6.6,Coup de foudre à Bollywood,18312,2004
1190,6.2,Drama,53,141,16.14,Vanity Fair - La foire aux vanités,18285,2004
1191,5.2,Crime,26,97,25.2,Instincts meurtriers,18123,2004
1192,6.0,Drama,47,137,22.41,Alamo,17757,2004
1193,7.4,Biography,56,90,0.12,It's All Gone Pete Tong,17692,2004
1194,6.8,Drama,82,86,0.99,My Summer of Love,17374,2004
1195,5.9,Crime,37,99,8.73,Suspect Zero,17281,2004
1196,7.0,Horror,66,118,0.08,3 extrêmes,16877,2004
1197,4.9,Comedy,42,88,6.47,La grande arnaque,16576,2004
1198,7.0,Animation,40,101,0.13,Appleseed,16450,2004
1199,5.3,Comedy,36,111,20.42,Les ex de mon mec,15936,2004
1200,5.4,Animation,50,76,50.03,La ferme se rebelle,15605,2004
1201,7.4,Action,78,100,0.0,Pusher II - Du sang sur les mains,15276,2004
1202,8.1,Drama,85,98,0.26,Lakposhtha parvaz mikonand,14937,2004
1203,7.5,Documentary,74,141,1.22,Metallica: Some Kind of Monster,14898,2004
1204,6.9,Animation,66,126,0.41,Steamboy,14718,2004
1205,6.7,Comedy,67,111,3.84,Lignes de vie,14034,2004
1206,5.8,Action,38,84,15.71,Paparazzi,13663,2004
1207,6.7,Biography,46,118,6.32,Beyond the Sea,13537,2004
1208,5.3,Comedy,33,89,9.44,Pyjama Party,13536,2004
1209,8.6,Crime,76,143,0.03,Black Friday,13527,2004
1210,7.4,Documentary,78,85,3.41,Camera kids,13380,2004
1211,6.6,Drama,40,132,0.4,Nous étions libres,13240,2004
1212,5.3,Action,42,91,0.1,D.E.B.S.,12989,2004
1213,5.5,Comedy,57,104,21.8,Mr 3000,12832,2004
1214,7.1,Adventure,63,109,18.95,Deux frères,12790,2004
1215,7.9,Comedy,59,104,0.02,Inside I'm Dancing,12607,2004
1216,6.8,Drama,59,97,1.03,La maison au bout du monde,12484,2004
1217,5.3,Documentary,38,109,10.94,Que sait-on vraiment de la réalité!?,12453,2004
1218,5.9,Drama,60,95,5.76,L'enlèvement,12268,2004
1219,4.5,Action,32,100,23.22,Cody Banks agent secret 2 - Destination Londres,12160,2004
1220,7.4,Drama,65,117,0.14,Napola - Elite für den Führer,12154,2004
1221,7.4,Comedy,51,98,0.1,Summer Storm,11927,2004
1222,4.2,Action,36,95,6.77,Thunderbirds - Les sentinelles de l'air,11833,2004
1223,5.7,Comedy,59,106,65.11,Barbershop 2: Back in Business,11477,2004
1224,6.8,Comedy,53,100,0.55,Palindromes,11204,2004
1225,5.1,Comedy,56,89,1.34,A Dirty Shame,11194,2004
1226,5.2,Comedy,33,110,14.47,Welcome to Mooseport,11156,2004
1227,7.0,Comedy,65,104,7.74,Adorable Julia,11102,2004
1228,6.5,Drama,53,93,0.22,La séductrice,10277,2004
1229,6.2,Horror,52,88,0.0,Calvaire,10200,2004
1230,6.6,Biography,53,125,13.34,De-Lovely,10077,2004
1231,7.6,Drama,76,117,0.38,Brødre,9992,2004
1232,4.3,Comedy,39,93,48.12,Fat Albert,9943,2004
1233,7.1,Comedy,68,105,0.0,Le crime farpait,9847,2004
1234,7.8,Biography,76,116,0.0,Mon ami Machuca,9708,2004
1235,6.4,Comedy,61,87,14.69,Criminal,9366,2004
1236,7.4,Biography,25,128,0.2,Modigliani,9225,2004
1237,6.4,Drama,61,100,0.36,Enduring Love,9215,2004
1238,7.2,Drama,64,106,0.78,Stage Beauty,9196,2004
1239,7.1,Drama,61,104,6.76,Les dames de Cornouailles,9016,2004
1240,7.2,Comedy,53,111,0.23,Imaginary Heroes,8935,2004
1241,5.2,Adventure,33,91,16.7,Les petits braqueurs,8586,2004
1242,6.3,Drama,66,101,2.04,We Don't Live Here Anymore,8561,2004
1243,7.5,Comedy,65,91,1.19,Saving Face,8391,2004
1244,5.2,Horror,37,98,0.1,Riding the Bullet,8057,2004
1245,7.0,Comedy,33,97,0.37,Le prince de Greenwich Village,7975,2004
1246,6.7,Comedy,34,91,0.07,Folles funérailles,7962,2004
1247,6.7,Drama,62,90,0.13,5x2,7962,2004
1248,6.3,Drama,29,96,0.0,Noël,7768,2004
1249,8.0,Comedy,59,102,0.0,Simon,7673,2004
1250,6.7,Drama,63,108,0.02,L'autre rive,7635,2004
1251,6.3,Comedy,44,108,8.05,Connie et Carla,7218,2004
1252,7.1,Drama,59,125,0.0,À corps perdus,7006,2004
1253,7.4,Action,63,161,0.28,Yuva,6885,2004
1254,4.6,Animation,15,100,19.76,Yu-gi-oh! Le film,6845,2004
1255,6.8,Drama,73,106,0.09,Le saut périlleux,6659,2004
1256,5.3,Comedy,28,138,0.37,She Hate Me,6647,2004
1257,8.0,Drama,66,120,0.84,Voces inocentes,6581,2004
1258,7.9,Animation,64,103,0.0,Mind Game,6450,2004
1259,4.4,Comedy,29,97,31.18,Johnson Family Vacation,6355,2004
1260,5.3,Biography,36,110,5.88,Dans les cordes,6181,2004
1261,7.4,Drama,65,103,2.71,Tu marcheras sur l'eau,6101,2004
1262,7.2,Drama,65,104,0.0,Just a Kiss,6093,2004
1263,5.9,Crime,37,115,0.14,Haven - L'enfer au paradis,6082,2004
1264,7.3,Comedy,56,102,0.0,Shimotsuma monogatari,6053,2004
1265,7.6,Documentary,58,75,0.24,Outfoxed: La guerre de Rupert Murdoch contre le journalisme,5934,2004
1266,6.6,Drama,27,98,0.03,Le livre de Jérémie,5614,2004
1267,5.8,Comedy,34,88,0.0,Dead & Breakfast,5462,2004
1268,6.0,Drama,51,104,0.19,Eros,5436,2004
1269,7.8,Documentary,76,107,0.13,Dig!,5430,2004
1270,5.1,Drama,35,110,0.07,Ma mère,5401,2004
1271,5.9,Comedy,28,90,0.16,Eating Out,5383,2004
1272,6.2,Comedy,55,97,0.18,P.S.,5366,2004
1273,7.6,Comedy,51,98,0.8,Saint Ralph,5314,2004
1274,7.8,Action,76,132,0.04,La servante et le samouraï,5105,2004
1275,5.7,Action,38,88,5.64,Never Die Alone,5034,2004
1276,7.6,Documentary,84,107,0.2,Le cauchemar de Darwin,5032,2004
1277,6.9,Drama,78,122,0.0,Innocence,5020,2004
1278,7.0,Drama,79,100,0.03,Keane,4924,2004
1279,7.8,Comedy,77,143,0.0,Cha no aji,4903,2004
1280,7.8,Documentary,79,84,2.59,Control Room,4862,2004
1281,6.9,Comedy,79,110,1.74,Comme une image,4827,2004
1282,8.3,Action,70,140,206.85,Batman Begins,1090661,2005
1283,8.2,Action,62,132,70.51,V pour vendetta,878716,2005
1284,8.0,Crime,74,124,74.1,Sin City,693329,2005
1285,7.6,Action,68,140,380.26,Star Wars: Épisode III - La revanche des Sith,583187,2005
1286,7.7,Adventure,81,157,290.01,Harry Potter et la coupe de feu,436162,2005
1287,6.5,Action,55,120,186.34,Mr. & Mrs. Smith,384395,2005
1288,6.5,Adventure,73,116,234.28,La guerre des mondes,361607,2005
1289,6.7,Adventure,72,115,206.46,Charlie et la chocolaterie,356086,2005
1290,7.2,Action,81,187,218.08,King Kong,344002,2005
1291,7.1,Comedy,73,116,109.45,"40 ans, toujours puceau",337810,2005
1292,6.9,Adventure,75,143,291.71,"Le monde de Narnia: chapitre 1 - Le lion, la sorcière blanche et l'armoire magique",314569,2005
1293,6.9,Animation,57,86,193.6,Madagascar,298625,2005
1294,7.0,Comedy,64,119,209.22,Serial noceurs,297816,2005
1295,5.7,Action,40,106,154.7,Les 4 fantastiques,282318,2005
1296,7.7,Drama,87,134,83.04,Le secret de Brokeback Mountain,279519,2005
1297,6.9,Action,50,136,35.82,The Island,277605,2005
1298,7.6,Crime,62,122,24.15,Lord of War,264064,2005
1299,6.6,Comedy,58,118,179.5,"Hitch, expert en séduction",262226,2005
1300,7.9,Action,74,119,25.51,Serenity - L'ultime rébellion,256959,2005
1301,6.9,Drama,50,121,75.98,Constantine,256883,2005
1302,7.2,Action,63,144,47.4,Kingdom of Heaven,235272,2005
1303,7.8,Drama,82,129,38.41,Orgueil & préjugés,212160,2005
1304,7.4,Animation,83,77,53.36,Les noces funèbres,208483,2005
1305,6.6,Horror,40,93,87.04,Saw II,204605,2005
1306,7.5,Crime,81,96,31.49,A History of Violence,200568,2005
1307,7.9,Biography,72,136,119.52,Walk the Line,200524,2005
1308,7.6,Comedy,71,92,24.79,Thank You for Smoking,199600,2005
1309,7.6,Comedy,72,103,4.24,Kiss Kiss Bang Bang,190589,2005
1310,7.6,Drama,74,164,47.4,Munich,188107,2005
1311,7.7,Drama,72,124,23.09,Match Point,180852,2005
1312,7.2,Adventure,71,99,26.02,The Descent,170549,2005
1313,6.3,Action,56,87,43.1,Le transporteur II,169425,2005
1314,6.8,Adventure,63,109,51.09,H2G2: le guide du voyageur galactique,166923,2005
1315,8.0,Biography,69,144,61.65,De l'ombre à la lumière,158299,2005
1316,7.0,Biography,58,125,62.66,Jarhead - La fin de l'innocence,153783,2005
1317,5.9,Horror,55,94,47.33,Hostel,149810,2005
1318,6.4,Comedy,48,113,158.12,Mi-temps au mitard,141278,2005
1319,7.1,Crime,58,104,1.01,Hard Candy,140204,2005
1320,6.3,Drama,53,98,89.71,Flight plan,135467,2005
1321,7.5,Crime,55,109,0.34,Hooligans,127182,2005
1322,7.4,Drama,54,145,57.49,Mémoires d'une geisha,125702,2005
1323,7.5,Drama,82,129,33.58,The Constant Gardener,118716,2005
1324,6.1,Comedy,47,90,110.33,Braqueurs amateurs,118415,2005
1325,6.9,Action,49,109,74.49,Quatre frères,118224,2005
1326,7.0,Drama,76,128,50.82,Syriana,115624,2005
1327,5.5,Action,36,93,25.86,Æon Flux,115158,2005
1328,6.3,Animation,64,91,128.2,Robots,113036,2005
1329,7.4,Biography,88,114,28.75,Truman Capote,109336,2005
1330,7.5,Animation,87,85,56.11,Wallace et Gromit - Le mystère du lapin-garou,106856,2005
1331,5.9,Adventure,51,118,37.92,Les frères Grimm,104608,2005
1332,6.7,Drama,46,119,75.07,L'exorcisme d'Emily Rose,104503,2005
1333,7.3,Biography,57,136,67.26,Coach Carter,101954,2005
1334,5.3,Horror,41,108,32.06,La maison de cire,101429,2005
1335,6.5,Mystery,71,85,57.89,Red eye - sous haute pression,99824,2005
1336,7.1,Drama,44,103,6.3,The Jacket,98904,2005
1337,6.6,Action,44,113,34.64,Otage,98174,2005
1338,6.5,Horror,47,104,47.81,La porte des secrets,94434,2005
1339,5.2,Action,34,105,28.03,Doom,93145,2005
1340,6.0,Drama,33,90,65.23,Amityville,92670,2005
1341,7.4,Action,72,110,2.06,Brick,90386,2005
1342,7.0,Action,58,103,24.52,Danny the Dog,90206,2005
1343,6.4,Crime,62,128,72.71,L'interprète,89841,2005
1344,6.2,Comedy,47,96,32.62,Just Friends,89486,2005
1345,6.7,Comedy,47,95,48.32,Et si c'était vrai...,88215,2005
1346,7.5,Biography,80,93,31.5,"Good Night, and Good Luck",87363,2005
1347,7.2,Comedy,79,106,13.74,Broken Flowers,87347,2005
1348,6.2,Horror,71,93,20.7,Land of the Dead - Le territoire des morts,83279,2005
1349,6.0,Action,41,124,68.67,Sahara,82224,2005
1350,6.9,Crime,53,107,17.04,The Devil's Rejects,81559,2005
1351,6.8,Comedy,30,94,16.12,Service non compris,79950,2005
1352,6.5,Action,25,111,0.08,Revolver,79755,2005
1353,5.4,Horror,44,110,76.23,Le cercle - The ring 2,79559,2005
1354,5.9,Action,47,129,46.46,La légende de Zorro,78803,2005
1355,4.8,Action,34,97,24.41,Elektra,76684,2005
1356,6.1,Action,67,101,29.26,Zathura - Une aventure spatiale,75434,2005
1357,6.7,Biography,69,135,12.71,Le nouveau monde,75239,2005
1358,5.9,Drama,35,101,51.1,Trouble jeu,74551,2005
1359,5.6,Action,30,95,113.09,Baby-sittor,73829,2005
1360,6.6,Comedy,61,102,12.48,The Weather Man,72155,2005
1361,5.8,Animation,48,81,135.39,Chicken Little,71257,2005
1362,5.1,Action,33,104,80.27,"Shérif, fais-moi peur",69454,2005
1363,6.3,Action,54,109,19.98,Assaut sur le central 13,68482,2005
1364,6.2,Adventure,62,100,63.95,L'école fantastique,67128,2005
1365,5.8,Action,45,110,18.47,Bleu d'enfer,67010,2005
1366,6.9,Drama,41,99,3.63,Stay,66161,2005
1367,7.4,Comedy,82,81,7.36,Les Berkman se séparent,65660,2005
1368,6.6,Crime,40,108,36.02,Dérapage,65520,2005
1369,5.7,Comedy,37,118,56.05,Be Cool,62160,2005
1370,4.8,Comedy,34,102,62.25,Ma sorcière bien-aimée,61955,2005
1371,6.4,Comedy,45,123,26.84,Rencontres à Elizabethtown,61527,2005
1372,6.6,Comedy,48,107,21.84,7 ans de séduction,61502,2005
1373,6.0,Action,36,127,10.17,Domino,60301,2005
1374,6.3,Horror,54,99,16.19,Wolf Creek,59951,2005
1375,7.3,Drama,83,117,3.63,Caché,59753,2005
1376,7.6,Crime,75,115,0.21,Lady Vengeance,59505,2005
1377,4.4,Action,37,101,26.87,xXx²: The Next Level,59483,2005
1378,6.9,Action,56,116,3.34,Bad Times,57626,2005
1379,5.0,Action,34,115,48.48,Miss FBI - Divinement armée,57237,2005
1380,6.6,Comedy,59,97,47.14,Nanny McPhee,55881,2005
1381,6.5,Comedy,60,130,32.88,In Her Shoes,54546,2005
1382,6.7,Drama,53,118,4.28,Goal! - Naissance d'un prodige,54356,2005
1383,5.6,Drama,52,105,25.47,Dark Water,53566,2005
1384,7.5,Comedy,58,106,1.71,Tout est illuminé,53106,2005
1385,6.3,Comedy,56,103,60.06,Esprit de famille,52990,2005
1386,7.6,Documentary,79,80,77.44,La marche de l'empereur,50448,2005
1387,6.5,Animation,45,80,51.39,La véritable histoire du Petit Chaperon Rouge,49373,2005
1388,6.5,Comedy,66,119,39.01,Quatre filles et un jean,48066,2005
1389,5.5,Comedy,31,101,82.93,Sa mère ou moi!,47876,2005
1390,5.0,Action,35,121,32.12,Furtif,47416,2005
1391,6.5,Adventure,57,112,11.29,Casanova,47030,2005
1392,7.8,Biography,68,127,5.13,Burt Munro,46876,2005
1393,7.1,Biography,56,107,11.01,Les seigneurs de Dogtown,46851,2005
1394,5.5,Adventure,34,94,82.57,Treize à la douzaine 2,46732,2005
1395,7.8,Documentary,87,103,3.17,Grizzly Man,45312,2005
1396,7.4,Crime,73,104,1.9,The Proposition,45254,2005
1397,2.2,Comedy,20,94,17.02,Le fils du mask,45015,2005
1398,5.5,Comedy,35,97,43.0,La rumeur court...,44522,2005
1399,7.0,Drama,53,135,29.08,Rent,44055,2005
1400,5.5,Drama,30,101,56.39,La voix des morts,43797,2005
1401,4.6,Comedy,23,83,22.26,Gigolo malgré lui,43681,2005
1402,6.1,Comedy,32,90,31.73,L'escorte,41978,2005
1403,6.8,Comedy,65,96,12.59,The matador - Même les tueurs ont besoin d'amis,41665,2005
1404,4.8,Adventure,47,101,66.02,La coccinelle revient,39463,2005
1405,2.3,Action,9,96,5.18,Alone in the Dark,39092,2005
1406,5.1,Biography,45,117,30.98,Réussir ou mourir,39040,2005
1407,7.8,Comedy,51,94,0.0,Adam's Apples,38990,2005
1408,6.2,Drama,50,122,22.86,Two for the Money,38972,2005
1409,6.8,Drama,64,100,7.52,Proof,38808,2005
1410,6.2,Comedy,56,104,42.07,Terrain d'entente,38155,2005
1411,7.4,Adventure,66,103,9.02,Transamerica,37810,2005
1412,6.4,Comedy,52,134,19.38,Les producteurs,36878,2005
1413,6.2,Comedy,58,105,22.83,Petites confidences (à ma psy),36859,2005
1414,5.9,Comedy,49,105,68.92,Black/White,35801,2005
1415,7.4,Adventure,77,121,5.02,Trois enterrements,35705,2005
1416,7.4,Crime,68,116,22.2,Hustle & Flow,35136,2005
1417,7.3,Drama,68,126,18.32,L'affaire Josey Aimes,34956,2005
1418,7.3,Comedy,76,91,3.89,"Moi, toi et tous les autres",32538,2005
1419,5.8,Comedy,46,94,35.42,The Ringer,32461,2005
1420,5.6,Comedy,45,95,52.58,Match en famille,32082,2005
1421,7.1,Action,52,111,11.91,L'honneur du dragon,31959,2005
1422,2.9,Action,18,95,2.41,BloodRayne,31610,2005
1423,3.6,Horror,27,100,29.51,Fog,31201,2005
1424,5.1,Adventure,30,97,15.01,La crypte,30625,2005
1425,6.8,Comedy,53,99,1.62,Secrets de famille,29966,2005
1426,8.0,Comedy,81,127,0.0,C.R.A.Z.Y.,28964,2005
1427,6.5,Drama,26,120,0.07,Tideland,28570,2005
1428,7.1,Comedy,48,91,0.2,Angel-A,28227,2005
1429,5.9,Comedy,46,98,43.89,La main au collier,27661,2005
1430,5.0,Comedy,31,97,19.3,Cursed,27587,2005
1431,4.1,Drama,32,89,46.75,Boogeyman - La porte des cauchemars,27545,2005
1432,6.9,Crime,65,130,1.99,Oliver Twist,27403,2005
1433,6.4,Action,43,95,0.05,Feast,26892,2005
1434,7.3,Crime,70,94,2.91,Mon nom est Tsotsi,25966,2005
1435,7.0,Adventure,49,108,8.59,Une vie inachevée,25799,2005
1436,6.8,Comedy,49,90,0.67,Imagine Me & You,25415,2005
1437,5.5,Comedy,27,100,16.25,L'homme parfait,25133,2005
1438,4.6,Adventure,27,95,82.67,On arrive quand?,24787,2005
1439,7.5,Biography,55,120,15.33,Un parcours de légende,24051,2005
1440,5.9,Drama,39,90,10.05,Cry Wolf,23971,2005
1441,7.8,Drama,70,116,1.05,Joyeux Noël,23834,2005
1442,7.6,Biography,76,120,0.68,Sophie Scholl - Les derniers jours,23742,2005
1443,5.4,Comedy,38,88,53.41,Une famille 2 en 1,23451,2005
1444,5.0,Horror,38,83,16.3,American Haunting,23093,2005
1445,3.5,Action,38,93,39.18,Les aventures de Shark Boy et Lava Girl,23067,2005
1446,5.5,Action,33,83,8.33,Le boss,22845,2005
1447,6.4,Drama,62,106,10.28,Shopgirl,21941,2005
1448,6.3,Comedy,62,92,8.82,Faux amis,21637,2005
1449,6.0,Comedy,55,98,24.38,Princesse on Ice,21471,2005
1450,6.9,Adventure,55,101,0.86,Mirrormask,21065,2005
1451,5.4,Action,35,100,19.7,Garde rapprochée,20854,2005
1452,7.5,Crime,71,90,1.45,Paradise Now,20645,2005
1453,6.6,Drama,24,92,0.01,London,20342,2005
1454,7.6,Comedy,52,84,0.38,Little Manhattan,20085,2005
1455,7.0,Comedy,80,106,2.68,Junebug,19931,2005
1456,7.4,Drama,46,139,0.08,Manderlay,19873,2005
1457,6.9,Comedy,63,118,18.76,Les bienfaits de la colère,19804,2005
1458,5.8,Biography,67,97,0.45,Last Days,19803,2005
1459,6.7,Action,48,132,10.17,Le grand raid,19477,2005
1460,6.6,Comedy,69,96,1.33,Age Difficile Obscur,19463,2005
1461,7.3,Comedy,59,128,0.83,Breakfast on Pluto,18580,2005
1462,5.8,Comedy,65,113,32.87,Bad News Bears,18376,2005
1463,7.0,Comedy,67,125,0.32,Les poupées russes,17604,2005
1464,5.6,Animation,45,76,19.45,"Vaillant, pigeon de combat!",17450,2005
1465,4.2,Action,24,101,1.89,Un coup de tonnerre,17284,2005
1466,6.4,Drama,65,108,0.57,Down in the Valley,17045,2005
1467,7.0,Comedy,41,108,0.05,The Chumscrubber,16831,2005
1468,7.3,Crime,75,108,1.02,De battre mon coeur s'est arrêté,16737,2005
1469,5.9,Action,53,103,0.07,"Beowulf, la légende viking",16354,2005
1470,6.5,Crime,47,107,0.87,La vérité nue,15720,2005
1471,7.5,Crime,87,95,0.65,L'enfant,15584,2005
1472,7.4,Crime,61,93,0.12,13 Tzameti,15537,2005
1473,7.1,Comedy,57,107,1.82,Kinky Boots,15468,2005
1474,6.4,Documentary,72,89,6.38,The Aristocrats,15367,2005
1475,5.5,Comedy,53,105,36.35,Beauty Shop,14390,2005
1476,7.1,Comedy,71,103,11.03,Madame Henderson présente,14094,2005
1477,6.4,Crime,29,96,0.38,The Quiet,14034,2005
1478,5.2,Adventure,43,102,49.77,"Zig Zag, l'étalon zébré",13669,2005
1479,7.8,Drama,77,117,3.22,Water,13173,2005
1480,6.4,Comedy,31,100,0.0,The Big White,12916,2005
1481,6.6,Comedy,71,94,0.81,Factotum,12642,2005
1482,7.2,Comedy,22,114,0.01,Le tigre et la neige,12257,2005
